"","Co-decision.DEC.amend","Co-decision.DEC.new","Co-decision.DIR.amend","Co-decision.DIR.new","Co-decision.REG.amend","Co-decision.REG.new","Commission.DEC.amend","Commission.DEC.new","Commission.DIR.amend","Commission.DIR.new","Commission.REG.amend","Commission.REG.new","Council.DEC.amend","Council.DEC.new","Council.DIR.amend","Council.DIR.new","Council.REG.amend","Council.REG.new"
"2003",2,8,35,6,19,15,185,307,56,6,508,1635,56,162,12,8,97,60
"2004",9,7,25,9,24,18,189,272,53,7,503,1529,54,218,11,7,107,76
"2005",5,8,22,4,13,6,182,254,47,7,476,1563,47,177,7,3,74,45
"2006",4,15,35,4,30,14,201,313,72,5,547,1262,59,160,26,0,112,52
"2007",9,9,12,6,13,8,178,288,51,2,403,1014,60,185,4,1,76,54
"2008",4,14,48,5,37,11,176,275,55,2,410,737,59,181,13,1,93,48
"2009",7,15,71,9,47,12,153,237,66,3,392,724,51,199,15,2,78,28
"2010",6,38,12,3,26,7,121,197,65,3,414,720,57,193,7,1,43,40
"2011",4,33,19,4,37,11,144,233,70,0,460,746,132,200,5,2,81,47
"2012",4,27,15,2,34,12,115,172,33,2,409,704,103,217,1,0,79,32
"2013",4,18,19,2,67,14,104,183,37,0,424,790,105,182,19,1,67,48
"2014",2,38,33,14,66,22,114,220,41,3,411,774,128,272,5,1,85,25
"2015",1,24,12,2,40,3,120,185,17,2,378,771,130,219,4,1,78,9
"2016",0,21,11,7,48,3,128,188,16,1,342,752,116,242,4,2,62,7
"2017",6,16,14,0,43,9,129,170,14,0,436,579,138,219,3,1,73,6
"2018",4,16,15,3,43,6,142,144,29,0,397,328,142,213,7,0,89,9
"2019",3,0,23,3,53,13,84,80,5,2,241,144,59,138,2,0,25,8
